Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,0.80872107,20.340425531914892,10.302485,19.372340425531913,19.372340425531913,1.0
102000,0.7201155,22.441860465116278,10.783474,21.337209302325583,21.337209302325583,1.0
104000,0.7285583,23.444444444444443,9.996526,22.54320987654321,22.54320987654321,1.0
106000,0.7009171,24.025,9.560188,22.9125,22.9125,1.0
108000,0.6603263,25.116883116883116,11.064802,24.22077922077922,24.22077922077922,1.0
110000,0.65252453,26.0,11.265666,24.783783783783782,24.783783783783782,1.0
112000,0.66945744,25.25,10.948023,24.42105263157895,24.42105263157895,1.0
114000,0.6618687,25.324675324675326,11.3050375,24.194805194805195,24.194805194805195,1.0
116000,0.70243865,24.164556962025316,11.474446,23.240506329113924,23.240506329113924,1.0
118000,0.6918267,23.8625,11.141146,22.9625,22.9625,1.0
120000,0.6679472,25.342105263157894,11.896129,24.43421052631579,24.43421052631579,1.0
122000,0.674512,23.365853658536587,11.752039,22.317073170731707,22.317073170731707,1.0
124000,0.65554124,23.180722891566266,12.533171,22.08433734939759,22.08433734939759,1.0
126000,0.60936445,23.9375,11.996649,22.8625,22.8625,1.0
128000,0.62516916,26.328767123287673,11.688852,25.383561643835616,25.383561643835616,1.0
130000,0.64315426,26.273972602739725,11.434313,25.273972602739725,25.273972602739725,1.0
132000,0.6365785,26.534246575342465,11.722153,25.616438356164384,25.616438356164384,1.0
134000,0.6235092,26.027027027027028,12.264798,24.95945945945946,24.95945945945946,1.0
136000,0.5933414,26.791666666666668,12.42066,25.76388888888889,25.76388888888889,1.0
138000,0.5926968,25.233766233766232,11.542546,24.155844155844157,24.155844155844157,1.0
140000,0.56646484,28.818181818181817,11.996799,27.924242424242426,27.924242424242426,1.0
142000,0.5409219,28.720588235294116,12.569104,27.764705882352942,27.764705882352942,1.0
