Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
520000,1.3213007e-05,12.728021978021978,1.7170813,11.741758241758241,11.741758241758241,0.014004493,0.13674566,0.00024285584,1.0
530000,1.32152745e-05,12.139290407358738,1.6179186,11.123359580052494,11.123359580052494,0.012980903,0.13952813,0.00023771396,1.0
540000,1.321302e-05,11.919896640826874,1.5361688,10.91343669250646,10.91343669250646,0.01421392,0.14236125,0.00023257034,1.0
550000,1.3215732e-05,12.58288043478261,1.6618267,11.574728260869565,11.574728260869565,0.011848183,0.14118801,0.00022743456,1.0
560000,1.3211557e-05,12.366310160427808,1.6292547,11.353805073431241,11.353805073431241,0.012951484,0.13459247,0.00022228764,1.0
570000,1.3221053e-05,12.411528150134048,1.6397859,11.390896921017402,11.390896921017402,0.01376293,0.14555292,0.00021714997,1.0
580000,1.3217543e-05,11.900645161290322,1.531827,10.88659793814433,10.88659793814433,0.013521139,0.1342114,0.00021251968,1.0
590000,1.3214079e-05,12.237086092715233,1.6049782,11.222222222222221,11.222222222222221,0.011461791,0.13690166,0.00020790007,1.0
600000,1.3215585e-05,12.379679144385026,1.6307219,11.382352941176471,11.382352941176471,0.012783374,0.13729991,0.00020275786,1.0
610000,0.0008577643,12.193931398416886,1.5756181,11.18050065876153,11.18050065876153,0.0116908625,0.13477854,0.00019761376,1.0
620000,1.3209208e-05,12.738651994497937,1.7082739,11.722527472527473,11.722527472527473,0.011625601,0.13832512,0.00019246727,1.0
630000,1.3216342e-05,12.46164199192463,1.6141074,11.462987886944818,11.462987886944818,0.011916409,0.1333881,0.00018733757,1.0
640000,1.3211394e-05,11.967616580310882,1.5856128,10.963730569948186,10.963730569948186,0.012111498,0.14062275,0.00018219388,1.0
650000,1.3212924e-05,12.497297297297298,1.683679,11.498648648648649,11.498648648648649,0.010735098,0.14330143,0.00017756557,1.0
660000,1.3216518e-05,12.645776566757494,1.7027389,11.640326975476839,11.640326975476839,0.0126406085,0.13949199,0.00017294048,1.0
670000,1.3212312e-05,12.06797385620915,1.5921202,11.052219321148826,11.052219321148826,0.010720981,0.13914098,0.00016779447,1.0
680000,1.3215802e-05,12.050913838120104,1.5968713,11.049608355091383,11.049608355091383,0.012330139,0.13688359,0.00016265316,1.0
690000,1.321399e-05,12.173913043478262,1.5898165,11.17786561264822,11.17786561264822,0.0112242475,0.14001155,0.00015751427,1.0
700000,1.3210963e-05,12.35427807486631,1.6228899,11.348930481283423,11.348930481283423,0.012384234,0.1321319,0.00015237476,1.0
710000,1.3212831e-05,12.128608923884514,1.5858164,11.136482939632545,11.136482939632545,0.011551376,0.13631168,0.00014722339,1.0
720000,1.3212494e-05,12.364846870838882,1.6426051,11.378342245989305,11.378342245989305,0.0109366905,0.14317241,0.00014207438,1.0
